rank	taxid	name	clade_reads	direct_reads	percent
R	1	root	227447	2	99.34
R1	131567	cellular organisms	227445	45	99.34
D	2	Bacteria	227354	548	99.30
P	1224	Pseudomonadota	140967	86	61.57
C	1236	Gammaproteobacteria	52444	30	22.91
O	91347	Enterobacterales	10686	15	4.67
F	543	Enterobacteriaceae	5500	12	2.40
G	544	Citrobacter	1674	4	0.73
G1	1344959	Citrobacter freundii complex	1312	73	0.57
S	1748967	Citrobacter cronae	739	739	0.32
S	67827	Citrobacter werkmanii	334	334	0.15
S	546	Citrobacter freundii	143	143	0.06
S	1639133	Citrobacter portucalensis	15	15	0.01
S	57706	Citrobacter braakii	5	5	0.00
S	67826	Citrobacter sedlakii	3	3	0.00
S	2546350	Citrobacter arsenatis	247	247	0.11
S	1914243	Citrobacter europaeus	111	111	0.05
G	579	Kluyvera	1250	0	0.55
S	61648	Kluyvera intermedia	1244	1244	0.54
S	51288	Kluyvera ascorbata	6	6	0.00
G	447792	Phytobacter	997	0	0.44
S	1972431	Phytobacter ursingii	995	995	0.43
S	395631	Phytobacter diazotrophicus	2	2	0.00
G	83654	Leclercia	948	0	0.41
S	2815358	Leclercia pneumoniae	948	948	0.41
F1	2890311	Klebsiella/Raoultella group	260	1	0.11
G	570	Klebsiella	259	0	0.11
S	2026240	Klebsiella quasivariicola	250	250	0.11
S	573	Klebsiella pneumoniae	8	8	0.00
S	244366	Klebsiella variicola	1	1	0.00
G	158851	Trabulsiella	177	0	0.08
S	379893	Trabulsiella odontotermitis	177	177	0.08
G	1504576	Pseudocitrobacter	139	0	0.06
S	2891570	Pseudocitrobacter corydidari	139	139	0.06
G	561	Escherichia	22	0	0.01
S	562	Escherichia coli	22	19	0.01
S1	2048776	Escherichia coli O128:H27	3	3	0.00
G	82976	Buttiauxella	6	0	0.00
S	82977	Buttiauxella agrestis	6	6	0.00
G	547	Enterobacter	5	2	0.00
G1	354276	Enterobacter cloacae complex	3	0	0.00
S	158836	Enterobacter hormaechei	3	3	0.00
G	702	Plesiomonas	4	0	0.00
S	703	Plesiomonas shigelloides	4	4	0.00
G	590	Salmonella	2	0	0.00
S	28901	Salmonella enterica	1	0	0.00
S1	59201	Salmonella enterica subsp. enterica	1	0	0.00
S2	286783	Salmonella enterica subsp. enterica serovar Indiana	1	1	0.00
S	54736	Salmonella bongori	1	1	0.00
G	2726810	Scandinavium	2	0	0.00
S	1851514	Scandinavium goeteborgense	2	2	0.00
G	1335483	Shimwellia	1	0	0.00
S	563	Shimwellia blattae	1	1	0.00
G	1330547	Kosakonia	1	0	0.00
S	283686	Kosakonia radicincitans	1	0	0.00
S1	1177180	Kosakonia radicincitans DSM 16656	1	1	0.00
F	1903409	Erwiniaceae	2922	7	1.28
G	551	Erwinia	2580	0	1.13
